English common name of herbal substance,Latin name of herbal substance,Full Text PDF URL,Monograph PDF URL,Page URL,Revision date,Interactions with other medicinal products and other forms of interaction,Unnamed: 2,Unnamed: 3,date,url,Undesirable effects,Overdose,Pharmacodynamic properties,Pharmacokinetic properties,Preclinical safety data
Dandelion root,Taraxaci officinalis radix,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-taraxacum-officinale-fh-wigg-radix_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/final-european-union-herbal-monograph-taraxacum-officinale-fh-wigg-radix_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/taraxaci-officinalis-radix,2022-06-21 14:36:00,None reported.,,,,,Allergic reactions may occur. The frequency is not known.,No case of overdose has been reported.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC.,"Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC, unless necessary for the safe use of the product. Tests on reproductive toxicity, genotoxicity and carcinogenicity have not been performed."
Rose flower,Rosae flos,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-rosa-gallica-l-rosa-centifolia-l-rosa-damascena-mill-flos_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/final-community-herbal-monograph-rosa-gallica-l-rosa-centifolia-l-rosa-damascena-mill-flos_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/rosae-flos,2022-04-13 11:30:00,None reported.,,,,,None known.,No case of overdose has been reported.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,"Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended, unless necessary for the safe use of the product. Tests on genotoxicity, reproductive toxicity and carcinogenicity have not been performed."
Castor oil,Ricini oleum,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-ricinus-communis-l-oleum_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/final-european-union-herbal-monograph-ricinus-communis-l-oleum_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/ricini-oleum,2022-04-13 11:30:00,"Hypokalaemia (resulting from long-term laxative abuse) potentiates the action of cardiac glycosides and interacts with antiarrhythmic medicinal products. Concomitant use with diuretics, adrenal corticosteroids and liquorice root may enhance loss of potassium. Concomitant use of antihistamines may reduce the laxative action of castor oil.",,,,,"Nausea, vomiting, abdominal pain and severe diarrhoea may occur. The frequency is not known. In such cases dose reduction is necessary.","The major symptoms of overdose are gastric irritation with nausea, vomiting, colic and severe diarrhoea, loss of water and electrolytes. Treatment should be supportive with generous amount of fluid and correction of electrolytes. A specific antidote is not available.","Pharmacotherapeutic group: contact laxatives Proposed ATC code: A 06 AB05 Ricinoleic acid, the active metabolite, like other anionic surfactants, reduces net absorption of fluid and electrolytes, and stimulates intestinal peristalsis.","The absorption is inversely related to the administered dose. Small doses of castor oil (4 g) are completely absorbed while 11.4% of a dose of 10 g and 86% of a dose of 44.4 g appeared in the faeces within 24 hours. Castor oil is hydrolysed in the small intestine by pancreatic enzymes, leading to the release of glycerol and ricinoleic acid. Ricinoleic acid is then metabolised to epoxydicarboxylic acids (3,6-epoxyoctanedioic acid, 3,6-epoxydecanedioic acid and 3,6 epoxydodecanedioic acid) which are excreted via urine.","Castor oil (2 ml daily) administered by gavage on days 18, 19 and 20 of gestation induced the initiation of labour and shortened the course of the delivery in pregnant rats. Adequate tests on genotoxicity and carcinogenicity have not been performed."
Senna leaf,Sennae folium,https://www.ema.europa.eu/en/documents/herbal-summary/final-assessment-report-senna-alexandrina-mill-cassia-senna-l-cassia-angustifolia-vahl-1-folium_en-0.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/final-european-union-herbal-monograph-senna-alexandrina-mill-cassia-senna-l-cassia-angustifolia-vahl_en-0.pdf,https://www.ema.europa.eu/en/medicines/herbal/sennae-folium,2022-04-13 10:37:00,"Hypokalaemia (resulting from long-term laxative abuse) potentiates the action of cardiac glycosides and interacts with antiarrhythmic medicinal products. Concomitant use with diuretics, adrenocorticosteroids and liquorice root may enhance loss of potassium.",,,,,"Hypersensitivity: Hypersensitivity reactions (pruritus, urticaria, local or generalised exanthema) may occur. Gastrointestinal disorders: Senna leaf preparations may produce abdominal pain and spasm and passage of liquid stools, in particular in patients with irritable colon. However, these symptoms may also occur generally as a consequence of individual overdosage. In such cases dose reduction is necessary. Furthermore, chronic use may cause pigmentation of the intestinal mucosa (pseudomelanosis coli), which usually recedes when the patient stops taking the preparation. Kidney and urinary tract symptoms: Long term use may lead to water and electrolyte imbalance and may result in albuminuria and haematuria. Yellow or red-brown (pH dependent) discolouration of urine by metabolites, which is not clinically significant, may occur during the treatment. The frequencies are not known. If other adverse reactions not mentioned above occur, a doctor or a pharmacist should be consulted.","The major symptoms of overdose/abuse are griping pain and severe diarrhoea with consequent losses of fluid and electrolytes. Treatment should be supportive with generous amounts of fluid. Electrolytes, especially potassium, should be monitored. This is especially important in the elderly. Chronic ingested overdoses of anthranoid containing medicinal products may lead to toxic hepatitis.","Pharmacotherapeutic group: contact laxatives Proposed ATC code: A06AB06 1.8-dihydroxyanthracene derivatives possess a laxative effect. The β-O-linked glycosides (sennosides) are not absorbed in the upper gut; they are converted by bacteria of the large intestine into the active metabolite (rhein anthrone). There are two different mechanisms of action: (1) Stimulation of the motility of the large intestine resulting in accelerated colonic transit. (2) Influence on secretion processes by two concomitant mechanisms viz. inhibition of absorption of water and electrolytes (Na+, Cl- ) into the colonic epithelial cells (antiabsorptive effect) and increase of the leakiness of the tight junctions and stimulation of secretion of water and electrolytes into the lumen of the colon (secretagogue effect) resulting in enhanced concentrations of fluid and electrolytes in the lumen of the colon. Defaecation takes place after a delay of 8-12 hours due to the time taken for transport to the colon and metabolisation into the active compound.","The β-Ο-linked glycosides (sennosides) are neither absorbed in the upper gut nor split by human digestive enzymes. They are converted by the bacteria of the large intestine into the active metabolite (rhein anthrone). Aglycones are absorbed in the upper gut. Animal experiments with radio-labeled rhein anthrone administered directly into the caecum demonstrated absorption <10%. In contact with oxygen, rhein anthrone is
oxidised into rhein and sennidins, which can be
found in the blood, mainly in the form of
glucuronides and sulphates. After oral
administration of sennosides, 3-6% of the
metabolites are excreted in urine; some are
excreted in bile.
Most of the sennosides (ca. 90%) are excreted in
faeces as polymers (polyquinones) together with
2-6% of unchanged sennosides, sennidins, rhein
anthrone and rhein. In human pharmacokinetic
studies with senna pods powder (20 mg
sennosides), administered orally for 7 days, a
maximum concentration of 100 ng rhein/ml was
found in the blood. An accumulation of rhein was
not observed.
Active metabolites, e.g. rhein, pass in small
amounts into breast milk. Animal experiments
demonstrated that placental passage of rhein is
low.","There are no preclinical data available for senna leaves or preparations thereof. It can be assumed that data obtained with senna pods can be transferred to senna leaf preparations. In a 90-day rat study, senna pods were administered at dose levels from 100 mg/kg of up to 1500 mg/kg (human equivalence dose of 16- 242 mg/kg). In all groups epithelial hyperplasia of the large intestine of minor degree was found and was reversible within the 8-week recovery period. The hyperplastic lesions of the forestomach epithelium were reversible as well. Dosedependent tubular basophilia and epithelial hypertrophy of the kidneys were seen at a dose of, or greater than 300 mg/kg per day without functional affection. These changes were also reversible. Storage of a brown tubular pigment led to a dark discoloration of the renal surface and still remained to a lesser degree after the European Union herbal monograph on Senna alexandrina Mill. (Cassia senna L.; Cassia angustifolia Vahl) 0F, folium EMA/HMPC/625849/2015 Page 10/10 Well-established use Traditional use recovery period. No alterations were seen in the colonic nervous plexus. A no-observable-effectlevel (NOEL) could not be obtained in this study. Senna pods, extracts thereof and several hydroxyl anthracene derivatives (except sennosides, rhein and sennidins) were mutagenic and genotoxic in several in vitro test systems. However, for senna and aloe-emodin this was not proven in in vivo systems. In long term carcinogenicity studies with senna pods effects on kidneys and colon/caecum were reported."
Cascara,Rhamni purshianae cortex,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-rhamnus-purshiana-dc-cortex-revision-1_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/final-european-union-herbal-monograph-rhamnus-purshiana-dc-cortex-revision-1_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/rhamni-purshianae-cortex,2022-04-13 10:21:00,"Hypokalaemia (resulting from long-term laxative abuse) potentiates the action of cardiac glycosides and interacts with antiarrhythmic medicinal products. Concomitant use with diuretics, adrenocorticosteroids and liquorice root may enhance loss of potassium.",,,,,"Hypersensitivity: Hypersensitivity reactions (pruritus, urticaria, local or generalised exanthema) may occur. Gastrointestinal disorders: Cascara bark may produce abdominal pain and spasm and passage of liquid stools, in particular in patients with irritable colon. However, these symptoms may also occur generally as a consequence of individual overdosage. In such cases dose reduction is necessary. Furthermore, chronic use may cause pigmentation of the intestinal mucosa (pseudomelanosis coli), which usually recedes when the patient stops taking the preparation. Kidney and urinary tract symptoms: Long term use may lead to water and electrolyte imbalance and may result in albuminuria and haematuria. Yellow or red-brown (pH dependent) discolouration of urine by metabolites, which is not clinically significant, may occur during the treatment. The frequency is not known. If other adverse reactions not mentioned above occur, a doctor or a pharmacist should be consulted.","The major symptoms of overdose/abuse are griping pain and severe diarrhoea with consequent losses of fluid and electrolytes. Treatment should be supportive with generous amounts of fluid. Electrolytes, especially potassium, should be monitored. This is especially important in the elderly. Chronic ingested overdoses of anthranoid containing medicinal products may lead to toxic hepatitis.","Pharmaco-therapeutic group: contact laxatives ATC-code: A06AB07 1,8-dihydroxyanthracene derivatives possess a laxative effect. Cascarosides A and B are mixed anthrone-C- and O-glycosides, Cascarosides C, D, E and F are 8-Oβ-D-glucosides, which are largely not split by human digestive enzymes in the upper gut and therefore not absorbed to a large extent. They are converted by the bacteria of the large intestine into the active metabolites (mainly emodin-9- anthrone). There are two different mechanisms of action: 1. Stimulation of the motility of the large intestine resulting in accelerated colonic transit. 2. Influence on secretion processes by two concomitant mechanisms viz. inhibition of absorption of water and electrolytes (Na+, Cl- ) into the colonic epithelial cells (antiabsorptive effect) and increase of the leakiness of the tight junctions and stimulation of secretion of water and electrolytes into the lumen of the colon (secretagogue effect) resulting in enhanced concentrations of fluid and electrolytes in the lumen of the colon. Defaecation takes place after a delay of 8 - 12 hours due to the time taken for transport to the colon and metabolisation into the active compound.","The β-O-linked glycosides are not split by human digestive enzymes and therefore not absorbed in the upper gut to a large extent. They are converted by the bacteria of the large intestine into the active metabolite (emodin-9-anthrone). The absorbed anthraquinone aglycones are transformed into their corresponding glucuronides and sulphate derivatives. It is not known to what extent emodin-9-anthrone is absorbed. However, in the case of senna, animal experiments with radio-labeled rheinanthrone administered directly into the caecum show that only a very small proportion (less than 10%) of rhein-anthrone is absorbed. Active metabolites, such as rhein, pass in small amounts into breast milk. Animal experiments demonstrated that placental-passage of rhein is low.","There are limited preclinical data on cascara bark preparations but details are lacking. Cascara bark (140 and 420 mg/kg: no further details provided) did not induce the development of colonic aberrant crypti foci (ACF, considered a consistent predictor of tumour outcome) and tumours and did not modify the number of azoxymethane-induced ACF and tumours in both doses in rats treated for 13 weeks (alone or in combination). Dietary exposure of rats (0.05% and 0.1% of the diet) of the anthraquinone glycosides of cascara for 56 successive days did not cause appearance of ACF: However, the higher dosage increased the incidence of ACF induced by 1,2-dimethyl-hydrazine in rats. Studies with emodin (a constituent of cascara bark preparations) revealed effects on oestrus cycle length and nephropathy in mice. Furthermore, several hydroxyl anthracene derivatives were mutagenic and genotoxic in several in vitro test systems, however this was not proven in in vivo systems. In long term carcinogenicity studies effects on kidneys and colon/caecum were reported. Reproductive toxicity seen was connected to maternal toxicity due to diarrhoeal effects."
Hedge mustard,Sisymbrii officinalis herba,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-sisymbrium-officinale-l-scop-herba_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/final-european-union-herbal-monograph-sisymbrium-officinale-l-scop-herba_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/sisymbrii-officinalis-herba,2022-04-13 08:58:00,Not reported.,,,,,None known.,No case of overdose has been reported.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,"Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended, unless necessary for the safe use of the product. Tests on reproductive toxicity, genotoxicity and carcinogenicity have not been performed."
Comfrey Root,Symphyti radix,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-symphytum-officinale-l-radix_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/final-european-union-herbal-monograph-symphytum-officinale-l-radix_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/symphyti-radix,2022-04-13 08:38:00,None reported.,,,,,None known.,No case of overdose has been reported.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,"Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended, unless necessary for the safe use of the product. Adequate tests on reproductive toxicity, genotoxicity and carcinogenicity have not been performed. Animal studies suggest that pyrrolizidine alkaloids are hepatotoxic after oral administration. Several pyrrolizidine alkaloids and pyrrolizidine alkaloid derivatives have been shown to produce genotoxic effects in cell cultures after metabolic activation. In rats, after oral administration appropriately low repeated doses of several alkaloids have been shown to induce tumours and in some studies, a single dose has been carcinogenic. In rats, after oral application of the pyrrolizidine alkaloid lasiocarpine given at doses of 35 mg/kg during pregnancy, foetal hepatotoxicity was observed. Until now only rudimentary data concerning absorption of PAs through the skin exist. The amount of PA within the daily dose should be limited to below  <0.35 µg/day for adults."
Ironwort,Sideritis herba,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-sideritis-scardica-griseb-sideritis-clandestina-bory-chaub-hayek-sideritis_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/final-european-union-herbal-monograph-sideritis-scardica-griseb-sideritis-clandestina-bory-chaub_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/sideritis-herba,2022-04-13 08:32:00,None reported.,,,,,None known.,No case of overdose has been reported.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended.,"Not required as per Article 16c(1)(a)(iii) of Directive 2001/83/EC as amended, unless necessary for the safe use of the product. Four Sideritis scardica dry extracts of different polarity (water, 20% and 50% V/V ethanol, and n-heptane) were tested (AMES-test in Salmonella typhimurium strains TA 98, TA 100, TA 1535, TA 1537 and TA 102 with and without metabolic activation). No signs of genotoxicity and mutagenicity were observed. Tests on reproductive toxicity and carcinogenicity have not been performed."
Senna pods,Sennae fructus,https://www.ema.europa.eu/en/documents/herbal-summary/final-assessment-report-senna-alexandrina-mill-cassia-senna-l-cassia-angustifolia-vahl-1-folium_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/final-european-union-herbal-monograph-senna-alexandrina-mill-cassia-senna-l-cassia-angustifolia-vahl_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/sennae-fructus,2022-04-11 12:24:00,"Hypokalaemia (resulting from long-term laxative abuse) potentiates the action of cardiac glycosides and interacts with antiarrhythmic medicinal products. Concomitant use with diuretics, adrenocorticosteroids and liquorice root may enhance loss of potassium.",,,,,"Hypersensitivity: Hypersensitivity reactions may occur. Gastrointestinal disorders: Senna pods may produce abdominal pain and spasm and passage of liquid stools, in particular in patients with irritable colon. However, these symptoms may also occur generally as a consequence of individual over-dosage. In such cases dose reduction is necessary. Furthermore, chronic use may cause pigmentation of the intestinal mucosa (pseudomelanosis coli), which usually recedes when the patient stops taking the preparation. Kidney and Urinary tract symptoms: Long term use may lead to water and electrolyte imbalance and may result in albuminuria and haematuria. Yellow or red-brown (pH dependent) discolouration of urine by metabolites, which is not clinically significant, may occur during the treatment. The frequencies are not known. If other adverse reactions not mentioned above occur, a doctor or a pharmacist should be consulted.","The major symptoms of overdose/abuse are griping pain and severe diarrhoea with consequent losses of fluid and electrolytes. Treatment should be supportive with generous amounts of fluid. Electrolytes, especially potassium, should be monitored. This is especially important in the elderly. Chronic ingested overdoses of anthranoid containing medicinal products may lead to toxic hepatitis.","Pharmacotherapeutic group: contact laxatives Proposed ATC code: A06AB06 1.8-dihydroxyanthracene derivatives possess a laxative effect. The β-O-linked glycosides (sennosides) are not absorbed in the upper gut; they are converted by bacteria of the large intestine into the active metabolite (rhein anthrone).
There are two different mechanisms of action:
(1) Stimulation of the motility of the large
intestine resulting in accelerated colonic transit.
(2) Influence on secretion processes by two
concomitant mechanisms viz. inhibition of
absorption of water and electrolytes (Na+, Cl-
)
into the colonic epithelial cells (antiabsorptive
effect) and increase of the leakiness of the tight
junctions and stimulation of secretion of water
and electrolytes into the lumen of the colon
(secretagogue effect) resulting in enhanced
concentrations of fluid and electrolytes in the
lumen of the colon.
Defaecation takes place after a delay of 8 - 12
hours due to the time taken for transport to the
colon and metabolisation into the active
compound.","The β-O-linked glycosides (sennosides) are
neither absorbed in the upper gut nor split by
human digestive enzymes. They are converted by
the bacteria of the large intestine into the active
metabolite (rhein anthrone). Aglycones are
absorbed in the upper gut. Animal experiments
with radio-labeled rhein anthrone administered
directly into the caecum demonstrated absorption
<10%. In contact with oxygen, rhein anthrone is
oxidised into rhein and sennidins, which can be
found in the blood, mainly in the form of
glucuronides and sulphates. After oral
administration of sennosides, 3 - 6% of the
metabolites are excreted in urine; some are
excreted in bile.
Most of the sennosides (ca. 90%) are excreted in
faeces as polymers (polyquinones) together with 2
- 6% of unchanged sennosides, sennidins, rhein
anthrone and rhein. In human pharmacokinetic
studies with senna pods powder (20 mg
sennosides), administered orally for 7 days, a
maximum concentration of 100 ng rhein/ml was
found in the blood. An accumulation of rhein was not observed.
Active metabolites, e.g. rhein, pass in small
amounts into breast milk. Animal experiments
demonstrated that placental passage of rhein is
low.","There are only few preclinical data available for senna pods or preparations thereof. In a 90-day rat study, senna pods were administered at dose levels from 100 mg/kg of up to 1500 mg/kg (human equivalence dose of 16- 242 mg/kg). In all groups epithelial hyperplasia of the large intestine of minor degree was found and was reversible within the 8-week recovery period. The hyperplastic lesions of the forestomach epithelium were reversible as well. Dosedependent tubular basophilia and epithelial hypertrophy of the kidneys were seen at a dose of, or greater than 300 mg/kg per day without functional affection. These changes were also reversible. Storage of a brown tubular pigment led to a dark discoloration of the renal surface and still remained to a lesser degree after the recovery period. No alterations were seen in the colonic nervous plexus. A no-observable-effectlevel (NOEL) could not be obtained in this study. Senna pods, extracts thereof and several hydroxyl anthracene derivatives (except sennosides, rhein and sennidins) were mutagenic and genotoxic in several in vitro test systems. However, for senna and aloe-emodin this was not proven in in vivo systems. In long term carcinogenicity studies with senna pods effects on kidneys and colon/caecum were reported."
Rhubarb,Rhei radix,https://www.ema.europa.eu/en/documents/herbal-report/final-assessment-report-rheum-palmatum-l-rheum-officinale-baillon-radix-revision-1_en.pdf,https://www.ema.europa.eu/en/documents/herbal-monograph/final-european-union-herbal-monograph-rheum-palmatum-l-rheum-officinale-baillon-radix-revision-1_en.pdf,https://www.ema.europa.eu/en/medicines/herbal/rhei-radix,2022-04-11 12:19:00,"Hypokalaemia (resulting from long-term laxative abuse) potentiates the action of cardiac glycosides and interacts with antiarrhythmic medicinal products. Concomitant use with diuretics, adrenocorticosteroids and liquorice root may enhance loss of potassium.",,,,,"Hypersensitivity: Hypersensitivity reactions (pruritus, urticaria, local or generalised exanthema) may occur. Gastrointestinal disorders: Rhubarb root may produce abdominal pain and spasm and passage of liquid stools, in particular in patients with irritable colon. However, these symptoms may also occur generally as consequence of individual overdosage. In such cases dose reduction is necessary. Furthermore, chronic use may cause pigmentation of the intestinal mucosa (pseudomelanosis coli), which usually recedes when the patient stops taking the preparation. Kidney and urinary tract symptoms: Long-term use may lead to water and electrolyte imbalance and may result in albuminuria and haematuria. Yellow or red-brown (pH dependent) discolouration of urine by metabolites, which is not clinically significant, may occur during treatment.","The major symptoms of overdose/abuse are griping pain and severe diarrhoea with consequent losses of fluid and electrolytes. Treatment should be supportive with generous amounts of fluid. Electrolytes, especially potassium, should be monitored. This is especially important in the elderly. Chronic ingested overdoses of anthranoid containing medicinal products may lead to toxic hepatitis.","Pharmaco-therapeutic group: contact laxatives ATC-code: A06AB 1,8-dihydroxyanthracene derivatives possess a laxative effect. The β-O-linked glycosides e.g. sennosides are not absorbed in the upper gut; they are converted by bacteria of the large intestine into the active metabolites, the anthrones. There are two different mechanisms of action: 1. Stimulation of the motility of the large intestine resulting in accelerated colonic transit. 2. Influence on secretion processes by two concomitant mechanisms viz. inhibition of absorption of water and electrolytes (Na+, Cl- ) into the colonic epithelial cells (antiabsorptive effect) and increase of the leakiness of the tight junctions and stimulation of secretion of water and electrolytes into the lumen of the colon (secretagogue effect) resulting in enhanced concentrations of fluid and electrolytes in the lumen of the colon.
Defaecation takes place after a delay of 8-12
hours due to the time taken for transport to the
colon and metabolisation into the active
compound. ","The β-O-linked glycosides are not split by human digestive enzymes and therefore not absorbed in the upper gut to a large extent. They are converted by the bacteria of the large intestine into the active metabolite (emodin-9-anthrone). Mainly anthraquinone aglycones are absorbed and transformed into their corresponding glucuronides and sulphate derivatives. After oral administration of rhubarb root preparations, rhein, emodin and traces of chrysophanol are found in human urine. After administration of other anthranoids, active metabolites, such as rhein, pass in small amounts into breast milk. Animal experiments demonstrated that placental-passage of rhein is low.","Total rhubarb (from Rheum palmatum L.) anthraquinones were orally administered for 13 weeks to Sprague Dawley rats at a dose of 0, 140, 794, 4500 mg/kg bw. In the highest dose group, nephrotoxicity was discernible at 13 weeks. In the Salmonella/microsome assay an ethanolic root extract of Rheum officinale Baillon was weakly mutagenic in strain TA 1537 with and without metabolic activation. No further toxicological data are available for rhubarb root itself or preparations thereof. Studies with emodin (a constituent of rhubarb root preparations) revealed effects on oestrus cycle length and nephropathy in mice. Furthermore, several hydroxyl anthracene derivatives were mutagenic and genotoxic in several in vitro test systems, however this was not proven in in vivo systems. In long term carcinogenicity studies effects on kidneys and colon/caecum were reported. Reproductive toxicity seen was connected to maternal toxicity due to diarrhoeal effects"
