Natural Product	Natural Product Relationship to Enzyme or Transporter	Enzyme or Transporter	Enzyme or Transporter Relationship to Drug	Drug	Drug Causal Relation with Adverse Event	Adverse Event	Natural Product Ontology Identifier	Natural Product or Constituent Ontology Identifier	Process Ontology Identifier	Enzyme or Transporter Ontology Identifier	Process or Pathway Ontology Identifier	Drug Ontology Identifier	Causal Relation Ontology Identifier	Adverse Event Ontology Identifier	Pubmed Identifier
Camellia_sinensis	directly_negatively_regulates_activity_of	cytochrome P450 3A4 (human)	directly_negatively_regulates_activity_of	simvastatin	correlated_with	myopathy	http://napdi.org/napdi_srs_imports:camellia_sinensis	http://napdi.org/napdi_srs_imports:camellia_sinensis	http://purl.obolibrary.org/obo/RO_0002449 	http://purl.obolibrary.org/obo/PR_P08684      	http://purl.obolibrary.org/obo/RO_0002449    	http://purl.obolibrary.org/obo/CHEBI_9150	http://purl.obolibrary.org/obo/RO_0002610 	http://purl.obolibrary.org/obo/MONDO_0005336	https://pubmed.ncbi.nlm.nih.gov/20374180/
Camellia_sinensis	directly_negatively_regulates_activity_of	cytochrome P450 3A4 (human)	directly_negatively_regulates_activity_of	simvastatin	causes_or_contributes_to_condition	myopathy	http://napdi.org/napdi_srs_imports:camellia_sinensis	http://napdi.org/napdi_srs_imports:camellia_sinensis	http://purl.obolibrary.org/obo/RO_0002449	http://purl.obolibrary.org/obo/PR_P08684	http://purl.obolibrary.org/obo/RO_0002449	http://purl.obolibrary.org/obo/CHEBI_9150	http://purl.obolibrary.org/obo/RO_0003302	http://purl.obolibrary.org/obo/MONDO_0005336	https://pubmed.ncbi.nlm.nih.gov/20374180/
Camellia_sinensis	directly_negatively_regulates_activity_of	cytochrome P450 3A4 (human)	is_substrate_of	simvastatin	correlated_with	myopathy	http://napdi.org/napdi_srs_imports:camellia_sinensis	http://napdi.org/napdi_srs_imports:camellia_sinensis	http://purl.obolibrary.org/obo/RO_0002449	http://purl.obolibrary.org/obo/PR_P08684	http://purl.obolibrary.org/obo/DIDEO_00000041	http://purl.obolibrary.org/obo/CHEBI_9150	http://purl.obolibrary.org/obo/RO_0002610	http://purl.obolibrary.org/obo/MONDO_0005336	https://pubmed.ncbi.nlm.nih.gov/20374180/
Camellia_sinensis	directly_negatively_regulates_activity_of	cytochrome P450 3A4 (human)	is_substrate_of	simvastatin	causes_or_contributes_to_condition	myopathy	http://napdi.org/napdi_srs_imports:camellia_sinensis	http://napdi.org/napdi_srs_imports:camellia_sinensis	http://purl.obolibrary.org/obo/RO_0002449	http://purl.obolibrary.org/obo/PR_P08684	http://purl.obolibrary.org/obo/DIDEO_00000041	http://purl.obolibrary.org/obo/CHEBI_9150	http://purl.obolibrary.org/obo/RO_0003302	http://purl.obolibrary.org/obo/MONDO_0005336	https://pubmed.ncbi.nlm.nih.gov/20374180/
Camellia_sinensis	directly_negatively_regulates_activity_of	cytochrome P450 3A4 (human)	directly_negatively_regulates_activity_of	simvastatin	correlated_with	myopathy	http://napdi.org/napdi_srs_imports:camellia_sinensis	http://napdi.org/napdi_srs_imports:camellia_sinensis	http://purl.obolibrary.org/obo/RO_0002449	http://purl.obolibrary.org/obo/PR_P08684	http://purl.obolibrary.org/obo/RO_0002449	http://purl.obolibrary.org/obo/CHEBI_9150	http://purl.obolibrary.org/obo/RO_0002610	http://purl.obolibrary.org/obo/MONDO_0005336	https://pubmed.ncbi.nlm.nih.gov/20374180/
Camellia_sinensis	directly_negatively_regulates_activity_of	cytochrome P450 3A4 (human)	directly_negatively_regulates_activity_of	simvastatin	causes_or_contributes_to_condition	myopathy	http://napdi.org/napdi_srs_imports:camellia_sinensis	http://napdi.org/napdi_srs_imports:camellia_sinensis	http://purl.obolibrary.org/obo/RO_0002449	http://purl.obolibrary.org/obo/PR_P08684	http://purl.obolibrary.org/obo/RO_0002449	http://purl.obolibrary.org/obo/CHEBI_9150	http://purl.obolibrary.org/obo/RO_0003302	http://purl.obolibrary.org/obo/MONDO_0005336	https://pubmed.ncbi.nlm.nih.gov/20374180/
Camellia_sinensis	directly_negatively_regulates_activity_of	ATP-dependent translocase ABCB1 (human)	directly_negatively_regulates_activity_of	simvastatin	correlated_with	myopathy	http://napdi.org/napdi_srs_imports:camellia_sinensis	http://napdi.org/napdi_srs_imports:camellia_sinensis	http://purl.obolibrary.org/obo/RO_0002449	http://purl.obolibrary.org/obo/PR_P08183	http://purl.obolibrary.org/obo/RO_0002449	http://purl.obolibrary.org/obo/CHEBI_9150	http://purl.obolibrary.org/obo/RO_0002610	http://purl.obolibrary.org/obo/MONDO_0005336	https://pubmed.ncbi.nlm.nih.gov/20374180/
Camellia_sinensis	directly_negatively_regulates_activity_of	ATP-dependent translocase ABCB1 (human)	directly_negatively_regulates_activity_of	simvastatin	causes_or_contributes_to_condition	myopathy	http://napdi.org/napdi_srs_imports:camellia_sinensis	http://napdi.org/napdi_srs_imports:camellia_sinensis	http://purl.obolibrary.org/obo/RO_0002449	http://purl.obolibrary.org/obo/PR_P08183	http://purl.obolibrary.org/obo/RO_0002449	http://purl.obolibrary.org/obo/CHEBI_9150	http://purl.obolibrary.org/obo/RO_0003302	http://purl.obolibrary.org/obo/MONDO_0005336	https://pubmed.ncbi.nlm.nih.gov/20374180/
Camellia_sinensis	directly_negatively_regulates_activity_of	ATP-dependent translocase ABCB1 (human)	directly_negatively_regulates_activity_of	simvastatin	correlated_with	myopathy	http://napdi.org/napdi_srs_imports:camellia_sinensis	http://napdi.org/napdi_srs_imports:camellia_sinensis	http://purl.obolibrary.org/obo/RO_0002449	http://purl.obolibrary.org/obo/PR_P08183	http://purl.obolibrary.org/obo/RO_0002449	http://purl.obolibrary.org/obo/CHEBI_9150	http://purl.obolibrary.org/obo/RO_0002610	http://purl.obolibrary.org/obo/MONDO_0005336	https://pubmed.ncbi.nlm.nih.gov/20374180/
Camellia_sinensis	directly_negatively_regulates_activity_of	ATP-dependent translocase ABCB1 (human)	directly_negatively_regulates_activity_of	simvastatin	causes_or_contributes_to_condition	myopathy	http://napdi.org/napdi_srs_imports:camellia_sinensis	http://napdi.org/napdi_srs_imports:camellia_sinensis	http://purl.obolibrary.org/obo/RO_0002449	http://purl.obolibrary.org/obo/PR_P08183	http://purl.obolibrary.org/obo/RO_0002449	http://purl.obolibrary.org/obo/CHEBI_9150	http://purl.obolibrary.org/obo/RO_0003302	http://purl.obolibrary.org/obo/MONDO_0005336	https://pubmed.ncbi.nlm.nih.gov/20374180/
